ooo,Number,Name,Color,Icon,Mesh,Material,Volume
0,0,,#3c3c3c,1,,1,1
1,1,废墟1,#49c6c7,1,Prefabs/A/kingdom_building_bad_2x2,1,1
2,2,废墟2,#49c6c7,1,Prefabs/A/kingdom_building_bad_2x2_2,1,2
3,3,废墟3,#49c6c7,1,Prefabs/A/kingdom_building_bad_2x2_3,1,2
4,4,废墟4,#49c6c7,1,Prefabs/A/kingdom_building_bad_3x3,1,3
5,5,废墟5,#49c6c7,1,Prefabs/A/kingdom_building_bad_3x3_2,1,4
6,6,废墟6,#49c6c7,1,Prefabs/A/kingdom_building_bad_3x3_3,1,1
7,7,枯枝杂草1,#49c749,1,Prefabs/A/kingdom_deceleration_stone_1,1,1
8,8,枯枝杂草2,#49c749,1,Prefabs/A/kingdom_deceleration_stone_2,3,1
9,9,枯枝杂草3,#49c749,1,Prefabs/A/kingdom_deceleration_stone_3,1,1
10,10,枯枝杂草4,#49c749,1,Prefabs/A/kingdom_deceleration_stone_4,1,1
11,11,枯枝杂草5,#49c749,1,Prefabs/A/kingdom_deceleration_stone_5,1,1
12,12,枯枝杂草6,#49c749,1,Prefabs/A/kingdom_deceleration_stone_6,1,1
13,13,枯枝杂草7,#49c749,1,Prefabs/A/kingdom_deceleration_stone_7,1,1
14,14,枯枝杂草8,#49c749,1,Prefabs/A/kingdom_deceleration_stone_8,1,1
15,15,枯枝杂草9,#49c749,1,Prefabs/A/kingdom_deceleration_stone_9,1,1
16,16,枯枝杂草10,#49c749,1,Prefabs/A/kingdom_deceleration_stone_10,1,1
17,17,枯枝杂草11,#49c749,1,Prefabs/A/kingdom_deceleration_stone_11,1,1
18,18,枯枝杂草12,#49c749,1,Prefabs/A/kingdom_deceleration_stone_12,1,1
19,19,枯枝杂草13,#49c749,1,Prefabs/A/kingdom_deceleration_stone_13,1,1
20,20,枯枝杂草14,#49c749,1,Prefabs/A/kingdom_deceleration_stone_14,1,1
21,21,枯枝杂草15,#49c749,1,Prefabs/A/kingdom_deceleration_stone_15,1,1
22,22,枯枝杂草16,#49c749,1,Prefabs/A/kingdom_deceleration_stone_16,1,1
23,23,枯枝1,#49c749,1,Prefabs/A/kingdom_deceleration_tree_1,1,1
24,24,枯枝2,#49c749,1,Prefabs/A/kingdom_deceleration_tree_2,1,1
25,25,枯枝3,#49c749,1,Prefabs/A/kingdom_deceleration_tree_3,1,1
26,26,枯枝4,#49c749,1,Prefabs/A/kingdom_deceleration_tree_4,1,1
27,27,枯枝5,#49c749,1,Prefabs/A/kingdom_deceleration_tree_5,1,1
28,28,枯枝6,#49c749,1,Prefabs/A/kingdom_deceleration_tree_6,1,1
29,29,枯枝7,#49c749,1,Prefabs/A/kingdom_deceleration_tree_7,1,1
30,30,枯枝8,#49c749,1,Prefabs/A/kingdom_deceleration_tree_8,1,1
31,31,枯枝9,#49c749,1,Prefabs/A/kingdom_deceleration_tree_9,1,1
32,32,枯枝10,#49c749,1,Prefabs/A/kingdom_deceleration_tree_10,1,1
33,33,枯枝11,#49c749,1,Prefabs/A/kingdom_deceleration_tree_11,1,1
34,34,垃圾堆1,#606C72,1,Prefabs/A/kingdom_deceleration_wander_1,1,1
35,35,垃圾堆2,#606C72,1,Prefabs/A/kingdom_deceleration_wander_2,1,1
36,36,垃圾堆3,#606C72,1,Prefabs/A/kingdom_deceleration_wander_3,1,1
37,37,垃圾堆4,#606C72,1,Prefabs/A/kingdom_deceleration_wander_4,1,1
38,38,垃圾堆5,#606C72,1,Prefabs/A/kingdom_deceleration_wander_5,1,1
39,39,垃圾堆6,#606C72,1,Prefabs/A/kingdom_deceleration_wander_6,1,1
40,40,垃圾堆7,#606C72,1,Prefabs/A/kingdom_deceleration_wander_7,1,1
41,41,垃圾堆8,#606C72,1,Prefabs/A/kingdom_deceleration_wander_8,1,1
42,42,垃圾堆9,#606C72,1,Prefabs/A/kingdom_deceleration_wander_9,1,1
43,43,垃圾堆10,#606C72,1,Prefabs/A/kingdom_deceleration_wander_10,1,1
44,44,垃圾堆11,#606C72,1,Prefabs/A/kingdom_deceleration_wander_11,1,1
45,45,垃圾堆12,#606C72,1,Prefabs/A/kingdom_deceleration_wander_12,1,1
46,46,山1_绿地,#870000,1,Prefabs/A/kingdom_hill_1,1,1
47,47,山2_绿地,#870000,1,Prefabs/A/kingdom_hill_2,1,1
48,48,山3_绿地,#870000,1,Prefabs/A/kingdom_hill_3,1,1
49,49,山4_绿地,#870000,1,Prefabs/A/kingdom_hill_4,1,1
50,50,山5_绿地,#870000,1,Prefabs/A/kingdom_hill_5,1,1
51,51,山6_绿地,#870000,1,Prefabs/A/kingdom_hill_6,1,1
52,52,山1_荒地,#823500,1,Prefabs/A/kingdom_hill_1_desert,1,1
53,53,山2_荒地,#823500,1,Prefabs/A/kingdom_hill_2_desert,1,1
54,54,山3_荒地,#823500,1,Prefabs/A/kingdom_hill_3_desert,1,1
55,55,山4_荒地,#823500,1,Prefabs/A/kingdom_hill_4_desert,1,1
56,56,山5_荒地,#823500,1,Prefabs/A/kingdom_hill_5_desert,1,1
57,57,山6_荒地,#823500,1,Prefabs/A/kingdom_hill_6_desert,1,1
58,58,树1_单棵,#49c749,1,Prefabs/A/kingdom_stone_1,1,1
59,59,树2_单棵,#49c749,1,Prefabs/A/kingdom_stone_2,1,1
60,60,树3_单棵,#49c749,1,Prefabs/A/kingdom_stone_3,1,1
61,61,树4_单棵,#49c749,1,Prefabs/A/kingdom_stone_4,1,1
62,62,树5_单棵,#49c749,1,Prefabs/A/kingdom_stone_5,1,1
63,63,树6_单棵,#49c749,1,Prefabs/A/kingdom_stone_6,1,1
64,64,树7_单棵,#49c749,1,Prefabs/A/kingdom_stone_7,1,1
65,65,树8_单棵,#49c749,1,Prefabs/A/kingdom_stone_8,1,1
66,66,树9_单棵,#49c749,1,Prefabs/A/kingdom_stone_9,1,1
67,67,树10_单棵,#49c749,1,Prefabs/A/kingdom_stone_10,1,1
68,68,树11_单棵,#49c749,1,Prefabs/A/kingdom_stone_11,1,1
69,69,树12_单棵,#49c749,1,Prefabs/A/kingdom_stone_12,1,1
70,70,树林1_绿地,#1C9A06,1,Prefabs/A/kingdom_tree_center_1,1,1
71,71,树林2_绿地,#1C9A06,1,Prefabs/A/kingdom_tree_center_2,1,1
72,72,树林3_绿地,#1C9A06,1,Prefabs/A/kingdom_tree_center_3,1,1
73,73,树林4_绿地,#1C9A06,1,Prefabs/A/kingdom_tree_center_4,1,1
74,74,树林5_绿地,#1C9A06,1,Prefabs/A/kingdom_tree_center_5,1,1
75,75,树林6_绿地,#1C9A06,1,Prefabs/A/kingdom_tree_center_6,1,1
76,76,树林7_绿地,#1C9A06,1,Prefabs/A/kingdom_tree_center_7,1,1
77,77,树林8_绿地,#1C9A06,1,Prefabs/A/kingdom_tree_center_8,1,1
78,78,树林1_荒地,#7E9A06,1,Prefabs/A/kingdom_tree_desert_center_1,1,1
79,79,树林2_荒地,#7E9A06,1,Prefabs/A/kingdom_tree_desert_center_2,1,1
80,80,树林3_荒地,#7E9A06,1,Prefabs/A/kingdom_tree_desert_center_3,1,1
81,81,树林4_荒地,#7E9A06,1,Prefabs/A/kingdom_tree_desert_center_4,1,1
82,82,树林e1_荒地,#7E9A06,1,Prefabs/A/kingdom_tree_desert_center_e1,1,1
83,83,树林e2_荒地,#7E9A06,1,Prefabs/A/kingdom_tree_desert_center_e2,1,1
84,84,树林n1_荒地,#7E9A06,1,Prefabs/A/kingdom_tree_desert_center_n1,1,1
85,85,树林n2_荒地,#7E9A06,1,Prefabs/A/kingdom_tree_desert_center_n2,1,1
86,86,树林s1_荒地,#7E9A06,1,Prefabs/A/kingdom_tree_desert_center_s1,1,1
87,87,树林s2_荒地,#7E9A06,1,Prefabs/A/kingdom_tree_desert_center_s2,1,1
88,88,树林w1_荒地,#7E9A06,1,Prefabs/A/kingdom_tree_desert_center_w1,1,1
89,89,树林w2_荒地,#7E9A06,1,Prefabs/A/kingdom_tree_desert_center_w2,1,1
90,90,树林少量1,AFCF7C,1,Prefabs/A/kingdom_tree_desert_low_1,1,1
91,91,树林少量2,AFCF7C,1,Prefabs/A/kingdom_tree_desert_low_2,1,1
92,92,树林少量3,AFCF7C,1,Prefabs/A/kingdom_tree_desert_low_3,1,1
93,93,树林少量4,AFCF7C,1,Prefabs/A/kingdom_tree_desert_low_4,1,1
94,94,树林中量1,AFCF7C,1,Prefabs/A/kingdom_tree_desert_medium_1,1,1
95,95,树林中量2,AFCF7C,1,Prefabs/A/kingdom_tree_desert_medium_2,1,1
96,96,树林中量3,AFCF7C,1,Prefabs/A/kingdom_tree_desert_medium_3,1,1
97,97,树林边1,#1C9A06,1,Prefabs/A/kingdom_tree_r_d,1,1
98,98,树林边2,#1C9A06,1,Prefabs/A/kingdom_tree_r_d_2,1,1
99,99,树林边3,#1C9A06,1,Prefabs/A/kingdom_tree_r_u,1,1
100,100,树林边4,#1C9A06,1,Prefabs/A/kingdom_tree_r_u_2,1,1
101,101,水_岸1,#45A9CD,1,Prefabs/A/kingdom_water_1,1,1
102,102,水_岸2,#45A9CD,1,Prefabs/A/kingdom_water_2,1,1
103,103,水_岸3,#45A9CD,1,Prefabs/A/kingdom_water_3,1,1
104,104,水_岸4,#45A9CD,1,Prefabs/A/kingdom_water_4,1,1
105,105,水_岸5,#45A9CD,1,Prefabs/A/kingdom_water_5,1,1
106,106,水_岸6,#45A9CD,1,Prefabs/A/kingdom_water_6,1,1
107,107,水_岸7,#45A9CD,1,Prefabs/A/kingdom_water_7,1,1
108,108,水_岸8,#45A9CD,1,Prefabs/A/kingdom_water_8,1,1
109,109,水_岸9,#45A9CD,1,Prefabs/A/kingdom_water_9,1,1
110,110,水_岸10,#45A9CD,1,Prefabs/A/kingdom_water_10,1,1
111,111,水_岸11,#45A9CD,1,Prefabs/A/kingdom_water_11,1,1
112,112,水_岸12,#45A9CD,1,Prefabs/A/kingdom_water_12,1,1
113,113,水_岸13,#45A9CD,1,Prefabs/A/kingdom_water_13,1,1
114,114,水_岸14,#45A9CD,1,Prefabs/A/kingdom_water_14,1,1
115,115,水_岸15,#45A9CD,1,Prefabs/A/kingdom_water_15,1,1
116,116,水_岸16,#45A9CD,1,Prefabs/A/kingdom_water_16,1,1
117,117,水,#00ACEA,1,Prefabs/A/kingdom_water_center,1,1
118,118,山1,#870000,1,Prefabs/A/kingdom_hill_1,1,3
119,119,山2,#870000,1,Prefabs/A/kingdom_hill_1,1,3
120,120,山3,#870000,1,Prefabs/A/kingdom_hill_1,1,3
121,121,火山1,#823500,1,Prefabs/A/kingdom_hill_1_desert,1,3
122,122,火山2,#823500,1,Prefabs/A/kingdom_hill_1_desert,1,3
123,123,火山3,#823500,1,Prefabs/A/kingdom_hill_1_desert,1,3
